Good information,Price,Image,Url
"Молоко стерилизованное Молочный Мир 1,5%, 1л",2.23,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F254968%2F
"Молоко стерилизованное Молочный Мир 2,5%, 1л",2.37,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F254967%2F
"Молоко стерилизованное Молочный Мир 3,2%, 1л",2.50,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F254969%2F
"Молоко ультрапастеризованное Complimilk 2,5%, 1л",2.21,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F262136%2F
"Молоко ультрапастеризованное ГороденЪ 2,5%, 0,95л",1.94,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F261205%2F
"Молоко ультрапастеризованное ГороденЪ 3,2%, 0,95л",1.93,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F261206%2F
"Молоко ультрапастеризованное Малочны Гасцiнец 3,6%, 0,93л",2.20,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F256349%2F
"Молоко ультрапастеризованное Милкавита Latte Barista 3,2%, 1л",2.48,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F36577%2F
"Молоко ультрапастеризованное Минская Марка 3,2%, 0,9л",1.87,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F149795%2F
"Молоко ультрапастеризованное Минская марка отборное 3,4-6%, 0,9л",2.21,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F264578%2F
"Молоко ультрапастеризованное Молочное Раздолье Софийка 2,5%, 0,95л",1.94,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F261177%2F
"Молоко ультрапастеризованное Молочный Мир 3.2%, 1,45л",2.79,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F265022%2F
"Молоко ультрапастеризованное Славянские традиции 3,2%, 0,9л",1.93,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F134479%2F
